Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Biological Process	GO:0002181	cytoplasmic translation	 	3.726E-33	7.266E-30	7.266E-30	5.924E-29	22	173	RPL21,RPL31,RPL32,RPL34,RPL35A,RPL39,RPLP2,RPS3A,RPS4X,RPS5,RPS6,RPS12,RPS13,RPS14,RPS20,RPS23,RPS25,RPS27,RPS27A,RPS29,RPL9,RPL13
GO: Biological Process	GO:0140236	translation at presynapse	 	2.415E-21	4.710E-18	1.511E-18	1.232E-17	12	53	RPL32,RPL34,RPL35A,RPLP2,RPS5,RPS12,RPS13,RPS14,RPS27,RPS27A,RPL9,RPL13
GO: Biological Process	GO:0140241	translation at synapse	 	3.100E-21	6.046E-18	1.511E-18	1.232E-17	12	54	RPL32,RPL34,RPL35A,RPLP2,RPS5,RPS12,RPS13,RPS14,RPS27,RPS27A,RPL9,RPL13
GO: Biological Process	GO:0140242	translation at postsynapse	 	3.100E-21	6.046E-18	1.511E-18	1.232E-17	12	54	RPL32,RPL34,RPL35A,RPLP2,RPS5,RPS12,RPS13,RPS14,RPS27,RPS27A,RPL9,RPL13
GO: Biological Process	GO:0006412	translation	 	1.520E-19	2.964E-16	5.928E-17	4.833E-16	24	932	RPL21,RPL31,RPL32,RPL34,RPL35A,RPL39,RPLP2,GAPDH,RPS3A,RPS4X,RPS5,RPS6,RPS12,RPS13,RPS14,RPS20,RPS23,RPS25,RPS27,RPS27A,RPS29,HBB,RPL9,RPL13
GO: Biological Process	GO:0043043	peptide biosynthetic process	 	3.561E-19	6.945E-16	1.157E-16	9.437E-16	24	967	RPL21,RPL31,RPL32,RPL34,RPL35A,RPL39,RPLP2,GAPDH,RPS3A,RPS4X,RPS5,RPS6,RPS12,RPS13,RPS14,RPS20,RPS23,RPS25,RPS27,RPS27A,RPS29,HBB,RPL9,RPL13
GO: Biological Process	GO:0006518	peptide metabolic process	 	7.938E-18	1.548E-14	2.211E-15	1.803E-14	24	1107	RPL21,RPL31,RPL32,RPL34,RPL35A,RPL39,RPLP2,GAPDH,RPS3A,RPS4X,RPS5,RPS6,RPS12,RPS13,RPS14,RPS20,RPS23,RPS25,RPS27,RPS27A,RPS29,HBB,RPL9,RPL13
GO: Biological Process	GO:0043604	amide biosynthetic process	 	9.357E-18	1.825E-14	2.281E-15	1.860E-14	24	1115	RPL21,RPL31,RPL32,RPL34,RPL35A,RPL39,RPLP2,GAPDH,RPS3A,RPS4X,RPS5,RPS6,RPS12,RPS13,RPS14,RPS20,RPS23,RPS25,RPS27,RPS27A,RPS29,HBB,RPL9,RPL13
GO: Biological Process	GO:0042274	ribosomal small subunit biogenesis	 	2.764E-15	5.391E-12	5.989E-13	4.883E-12	11	114	RPS3A,RPS4X,RPS5,RPS6,RPS12,RPS13,RPS14,RPS23,RPS25,RPS27,RPS27A
GO: Biological Process	GO:0043603	amide metabolic process	 	3.269E-15	6.375E-12	6.375E-13	5.197E-12	24	1445	RPL21,RPL31,RPL32,RPL34,RPL35A,RPL39,RPLP2,GAPDH,RPS3A,RPS4X,RPS5,RPS6,RPS12,RPS13,RPS14,RPS20,RPS23,RPS25,RPS27,RPS27A,RPS29,HBB,RPL9,RPL13
GO: Biological Process	GO:0002478	antigen processing and presentation of exogenous peptide antigen	 	1.841E-11	3.589E-8	3.263E-9	2.660E-8	7	47	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DRB1,B2M,CD74
GO: Biological Process	GO:0042254	ribosome biogenesis	 	2.970E-11	5.792E-8	4.827E-9	3.935E-8	12	348	RPL35A,RPS3A,RPS4X,RPS5,RPS6,RPS12,RPS13,RPS14,RPS23,RPS25,RPS27,RPS27A
GO: Biological Process	GO:0019884	antigen processing and presentation of exogenous antigen	 	7.598E-11	1.482E-7	1.140E-8	9.292E-8	7	57	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DRB1,B2M,CD74
GO: Biological Process	GO:0019883	antigen processing and presentation of endogenous antigen	 	1.887E-10	3.680E-7	2.629E-8	2.143E-7	6	34	HLA-A,HLA-B,HLA-C,HLA-DRB1,B2M,CD74
GO: Biological Process	GO:0048002	antigen processing and presentation of peptide antigen	 	5.519E-10	1.076E-6	7.175E-8	5.850E-7	7	75	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DRB1,B2M,CD74
GO: Biological Process	GO:0002477	antigen processing and presentation of exogenous peptide antigen via MHC class Ib	 	3.798E-9	7.406E-6	4.629E-7	3.774E-6	4	9	HLA-A,HLA-B,HLA-C,B2M
GO: Biological Process	GO:0022613	ribonucleoprotein complex biogenesis	 	4.095E-9	7.986E-6	4.698E-7	3.830E-6	12	536	RPL35A,RPS3A,RPS4X,RPS5,RPS6,RPS12,RPS13,RPS14,RPS23,RPS25,RPS27,RPS27A
GO: Biological Process	GO:0000028	ribosomal small subunit assembly	 	5.256E-9	1.025E-5	5.394E-7	4.398E-6	5	27	RPS5,RPS6,RPS14,RPS25,RPS27
GO: Biological Process	GO:0002483	antigen processing and presentation of endogenous peptide antigen	 	5.256E-9	1.025E-5	5.394E-7	4.398E-6	5	27	HLA-A,HLA-B,HLA-C,HLA-DRB1,B2M
GO: Biological Process	GO:0030097	hemopoiesis	 	7.817E-9	1.524E-5	7.622E-7	6.214E-6	18	1534	RTKN2,RPL35A,HLA-B,ANXA2,RPS6,HLA-DRB1,B2M,ACTB,RPS14,TMSB4X,CD74,RPS27,RPS29,HBA2,HBB,ITGB1,LGALS1,LGALS3
GO: Biological Process	GO:0007159	leukocyte cell-cell adhesion	 	2.029E-8	3.957E-5	1.884E-6	1.536E-5	11	492	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DRB1,B2M,ACTB,CD74,ITGB1,LGALS1,LGALS3
GO: Biological Process	GO:0098609	cell-cell adhesion	 	3.211E-8	6.262E-5	2.846E-6	2.321E-5	15	1112	HLA-A,HLA-B,HLA-C,CLIC1,HLA-DPB1,ANXA2,HLA-DRB1,B2M,ACTB,ACTG1,CD74,HBB,ITGB1,LGALS1,LGALS3
GO: Biological Process	GO:0050870	positive regulation of T cell activation	 	4.899E-8	9.553E-5	4.153E-6	3.386E-5	9	309	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DRB1,B2M,ACTB,CD74,LGALS1
